ALLER_TYPE,RETURN_TYPE,AIRLINE_ALLER,AIRLINE_RETOUR,CITY_ARRIVAL,CITY_DEPARTURE,DATE_DE_DEPART,DATE_DE_RETOUR,HOR_ARRI,HOR_DEP,HOR_DEP_RETOUR,HOR_RETOUR,PRICE,FLIGHT_DURATION_DEPARTURE,FLIGHT_DURATION_RETURN,SEASON,FLIGHT_ROUTE,PRICE_CATEGORY
Vol direct,2 escales,JetBlue Airways,American Airlines,Rabat,London,2023-06-18,2023-07-03,01:10:00,23:26:00,11:25:00,18:11:00,665,1336,406,Summer,London - Rabat,Premium
Vol direct,2 escales,Delta Air Lines,Turkish Airlines,Rabat,Casablanca,2023-05-24,2023-07-23,02:59:00,07:06:00,14:11:00,17:15:00,899,247,184,Spring,Casablanca - Rabat,Premium
2 esclaes,Vol direct,Cathay Pacific,Japan Airlines,London,Tangier,2023-02-11,2023-05-24,02:20:00,14:02:00,09:23:00,15:34:00,506,702,371,Winter,Tangier - London,Premium
1 esclae,Vol direct,Delta Air Lines,AirAsia,Amsterdam,Vienna,2023-05-02,2023-06-22,04:25:00,05:33:00,02:36:00,11:31:00,88,68,535,Spring,Vienna - Amsterdam,Budget
1 esclae,2 escales,Southwest Airlines,British Airways,Cairo,Casablanca,2023-02-24,2023-05-06,05:05:00,09:44:00,10:06:00,20:59:00,750,279,653,Winter,Casablanca - Cairo,Premium
1 esclae,2 escales,JetBlue Airways,Qantas,Barcelona,Cairo,2023-05-24,2023-07-15,02:13:00,06:26:00,06:10:00,15:11:00,208,253,541,Spring,Cairo - Barcelona,Standard
2 esclaes,2 escales,ANA - All Nippon Airways,ANA - All Nippon Airways,Rio de Janeiro,Tokyo,2023-04-12,2023-06-07,01:11:00,00:52:00,19:17:00,20:32:00,940,19,75,Spring,Tokyo - Rio de Janeiro,Premium
2 esclaes,Vol direct,Southwest Airlines,Ryanair,Amsterdam,Dublin,2023-02-15,2023-04-19,06:59:00,09:17:00,02:12:00,08:42:00,980,138,390,Winter,Dublin - Amsterdam,Premium
Vol direct,1 escale,China Eastern Airlines,Ryanair,Tangier,Moscow,2023-01-17,2023-06-22,04:46:00,22:14:00,20:47:00,23:24:00,159,1048,157,Winter,Moscow - Tangier,Budget
1 esclae,2 escales,ANA - All Nippon Airways,British Airways,Vienna,Los Angeles,2023-05-20,2023-06-03,01:16:00,21:50:00,03:16:00,13:54:00,95,1234,638,Spring,Los Angeles - Vienna,Budget
